Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Ohio State,11,8,-16,Big 10,A,F,Michigan State,Big 10,20,Win,N,-2,-0.02,-16,898,Completed,90,0,9,,,,,,,,,,,,
2018,LSU,11,9,-41,SEC,A,F,Arkansas,SEC,7,Win,N,-1,1.48,9,710,Completed,80,0,10,,,,,,,,,,,,
2018,Washington State,11,10,-40,PAC 12,A,F,Colorado,PAC 12,24,Win,N,-3,-0.43,-41,1412,Completed,90,0,8,,,,,,,,,,,,
2018,UCF,11,11,-39,AAC,H,F,Navy,AAC,11,Win,N,0,-0.31,-5,-682,Completed,100,0,11,,,,,,,,,,,,
2018,Kentucky,11,12,-38,SEC,A,F,Tennessee,SEC,-17,Lose,N,1,-3.28,0,-20,Completed,70,0,20,,,,,,,,,,,,
2018,Syracuse,11,13,-37,ACC,H,F,Louisville,ACC,31,Win,N,-1,0.42,-60,-62,Completed,80,0,12,,,,,,,,,,,,
2018,Utah State,11,14,-36,MWC,H,F,San Jose State,MWC,38,Win,N,-3,2.48,2,570,Completed,90,0,14,,,,,,,,,,,,
2018,Texas,11,15,-26,Big 12,A,F,Texas Tech,Big 12,7,Win,N,-3,-1.63,-30,376,Completed,70,0,13,,,,,,,,,,,,
2018,Fresno State,11,16,-17,MWC,A,F,Boise State,MWC,-7,Lose,N,-1,0.14,16,-532,Completed,80,0,28,,,,,,,,,,,,
2018,Boston College,11,17,15,ACC,H,U,Clemson,ACC,-20,Lose,N,-2,-3.99,27,-646,Completed,70,0,22,,,,,,,,,,,,
2018,Mississippi State,11,18,17,SEC,A,U,Alabama,SEC,-24,Lose,N,-1,-0.86,50,-470,Completed,60,0,25,,,,,,,,,,,,
2018,Florida  ,11,19,-27,SEC,H,F,South Carolina,SEC,4,Win,N,0,0.33,14,680,Completed,70,0,15,,,,,,,,,,,,
2018,Washington,11,20,,PAC 12,N,P,BYE,PAC 12,0,DNP,N,,,,,DNP,70,0,17,,,,,,,,,,,,
2018,Penn State,11,21,-7,Big 10,H,F,Wisconsin,Big 10,12,Win,N,-2,0.04,-28,478,Completed,70,0,16,,,,,,,,,,,,
2018,N.C. State,11,22,-28,ACC,H,F,Wake Forest,ACC,-4,Lose,N,0,-0.87,5,216,Completed,66.667,0,30,,,,,,,,,,,,
2018,Iowa State,11,23,-27,Big 12,H,F,Baylor,Big 12,14,Win,N,0,-0.08,-40,-598,Completed,66.667,0,18,,,,,,,,,,,,
2018,Michigan State,11,24,16,Big 10,H,U,Ohio State,Big 10,-20,Lose,N,2,0.02,16,-898,Completed,60,0,29,,,,,,,,,,,,
2018,Cincinnati,11,25,-22,AAC,H,F,South Florida,AAC,12,Win,N,2,0.55,-58,852,Completed,90,0,19,,,,,,,,,,,,
2018,Utah,11,26,-10,PAC 12,H,F,Oregon,PAC 12,7,Win,N,-1,0.19,-38,352,Completed,70,0,21,,,,,,,,,,,,
2018,Auburn,11,27,22,SEC,A,U,Georgia,SEC,-17,Lose,N,-1,-2.67,-33,-990,Completed,60,0,37,,,,,,,,,,,,
2018,Wisconsin,11,28,7,Big 10,A,U,Penn State,Big 10,-12,Lose,N,2,-0.04,28,-478,Completed,60,0,45,,,,,,,,,,,,
